jfuertes       02/11/2010 08:05:36 D	1	0
lortuno        02/11/2010 08:07:32 D	1	0
mescobar       02/11/2010 08:09:33 D	1	0
jgarcia        02/11/2010 08:11:52 D	1	0
jsolorzano     02/11/2010 08:14:51 D	1	0
jevargas       02/11/2010 08:15:01 D	1	0
hmantezana     02/11/2010 08:16:45 D	1	0
pclaros        02/11/2010 08:19:29 D	1	0
eyrady         02/11/2010 08:22:02 D	1	0
mgrandillert   02/11/2010 08:22:11 D	0	0
gmontano       02/11/2010 08:24:11 D	1	0
jleano         02/11/2010 08:25:14 D	1	0
jcanedo        02/11/2010 08:28:08 D	1	0
rvera          02/11/2010 08:30:41 D	1	0
jvargas        02/11/2010 08:31:57 D	1	0
aencinas       02/11/2010 08:32:05 D	1	0
agarcia        02/11/2010 08:32:39 D	1	0
aponce         02/11/2010 08:32:45 D	1	0
fprudencio     02/11/2010 08:35:26 D	1	0
fmeza          02/11/2010 08:36:36 D	1	0
jaquispe       02/11/2010 08:38:12 D	1	0
amaldonado     02/11/2010 08:38:19 D	1	0
jbalderrama    02/11/2010 08:38:27 D	1	0
despinoza      02/11/2010 08:41:19 D	1	0
vdaga          02/11/2010 08:41:36 D	1	0
rcoronel       02/11/2010 08:42:28 D	1	0
ecotana        02/11/2010 08:43:26 D	0	0
lgalindo       02/11/2010 08:43:31 D	1	0
gaguilar       02/11/2010 08:43:39 D	1	0
eudaeta        02/11/2010 08:45:56 D	1	0
tescriva       02/11/2010 08:48:13 D	0	0
jcardenas      02/11/2010 08:49:02 D	1	0
vbadani        02/11/2010 08:53:17 D	1	0
vbadani        02/11/2010 08:53:29 D	1	0
rsoliz         02/11/2010 08:53:37 D	1	0
nzurita        02/11/2010 08:55:56 D	1	0
lsaravia       02/11/2010 08:57:46 D	1	0
gmontano       02/11/2010 12:29:19 0	1	0
eyrady         02/11/2010 12:29:39 0	1	0
jcanedo        02/11/2010 12:30:12 0	1	0
rmedrano       02/11/2010 12:31:01 0	1	0
ecotana        02/11/2010 12:31:18 D	0	0
jgarcia        02/11/2010 12:32:12 0	1	0
rmartinez      02/11/2010 12:32:44 0	1	0
lsaravia       02/11/2010 12:32:51 0	1	0
rvera          02/11/2010 12:33:00 0	1	0
hmantezana     02/11/2010 12:33:06 D	1	0
jcardenas      02/11/2010 12:33:14 D	1	0
jvargas        02/11/2010 12:33:24 0	1	0
lortuno        02/11/2010 12:34:51 0	1	0
rcordero       02/11/2010 12:35:22 0	1	0
rsoliz         02/11/2010 12:35:32 0	1	0
jsolorzano     02/11/2010 12:35:53 0	1	0
eudaeta        02/11/2010 12:37:11 0	1	0
jevargas       02/11/2010 12:37:38 0	1	0
amaldonado     02/11/2010 12:38:46 0	1	0
agarcia        02/11/2010 12:39:03 0	1	0
gaguilar       02/11/2010 12:39:11 0	1	0
lgalindo       02/11/2010 12:39:17 D	1	0
despinoza      02/11/2010 12:39:28 0	1	0
lgalindo       02/11/2010 12:39:34 0	1	0
jpinto         02/11/2010 12:40:23 0	1	0
mgrandillert   02/11/2010 12:40:30 0	0	0
czamora        02/11/2010 12:44:34 0	1	0
aponce         02/11/2010 12:45:26 0	1	0
tescriva       02/11/2010 12:46:48 D	0	0
nzurita        02/11/2010 12:47:20 0	1	0
vbadani        02/11/2010 12:47:28 0	1	0
fmeza          02/11/2010 13:01:21 0	1	0
cmollo         02/11/2010 13:23:49 D	1	0
randia         02/11/2010 13:50:59 D	1	0
agarcia        02/11/2010 13:53:44 D	1	0
smarino        02/11/2010 13:53:54 D	1	0
gaguilar       02/11/2010 13:56:41 D	1	0
rmedrano       02/11/2010 14:05:04 D	1	0
lortuno        02/11/2010 14:15:13 D	1	0
lgalindo       02/11/2010 14:20:01 D	1	0
hmantezana     02/11/2010 14:23:56 D	1	0
rsoliz         02/11/2010 14:24:04 D	1	0
despinoza      02/11/2010 14:25:05 D	1	0
rvera          02/11/2010 14:25:14 D	1	0
aencinas       02/11/2010 14:25:23 D	1	0
eyrady         02/11/2010 14:26:40 D	1	0
jvargas        02/11/2010 14:26:48 D	1	0
jcanedo        02/11/2010 14:26:56 D	1	0
